Combo,BestMAP,BestParams
SLIMElasticNetRecommender_RP3betaRecommender,0.03127287795681601,"{'min_interactions': 1, 'alpha_1': 0.37400256507858753, 'alpha_2': 0.5258276002440286}"
SLIMElasticNetRecommender_IALSRecommender,0.03063199861451186,"{'min_interactions': 1, 'alpha_1': 0.46110712860121955, 'alpha_2': 0.028022535642723934}"
SLIMElasticNetRecommender_SLIM_BPR_Recommender,0.030412103728166117,"{'min_interactions': 1, 'alpha_1': 0.66557406096457, 'alpha_2': 0.05686650222915554}"
SLIMElasticNetRecommender_EASE_R_Recommender,0.03042349525834006,"{'min_interactions': 1, 'alpha_1': 1.5897967256678174, 'alpha_2': 0.06677125835425493}"
RP3betaRecommender_IALSRecommender,0.030378597366939552,"{'min_interactions': 1, 'alpha_1': 1.6891432044384755, 'alpha_2': 0.14638790380652017}"
RP3betaRecommender_SLIM_BPR_Recommender,0.03022530003099972,"{'min_interactions': 1, 'alpha_1': 1.5848035540810446, 'alpha_2': 0.05654121560678008}"
RP3betaRecommender_EASE_R_Recommender,0.03053426316055881,"{'min_interactions': 1, 'alpha_1': 1.9041360623028387, 'alpha_2': 1.1908202051556678}"
IALSRecommender_SLIM_BPR_Recommender,0.027517536076474013,"{'min_interactions': 25, 'alpha_1': 1.3963168160029331, 'alpha_2': 0.7797584944060458}"
IALSRecommender_EASE_R_Recommender,0.02777273640291789,"{'min_interactions': 24, 'alpha_1': 0.10339324671531921, 'alpha_2': 1.9211127149584206}"
SLIM_BPR_Recommender_EASE_R_Recommender,0.028104296753908298,"{'min_interactions': 1, 'alpha_1': 0.06540103679782627, 'alpha_2': 1.706115313894826}"
SLIMElasticNetRecommender_RP3betaRecommender_IALSRecommender,0.03143132342614232,"{'min_interactions': 1, 'alpha_1': 0.7714545095439863, 'alpha_2': 1.5587946151160836, 'alpha_3': 0.06685838444618397}"
SLIMElasticNetRecommender_RP3betaRecommender_SLIM_BPR_Recommender,0.031191551683779913,"{'min_interactions': 1, 'alpha_1': 1.2473342193908712, 'alpha_2': 1.1537493699045196, 'alpha_3': 0.029330905164292664}"
SLIMElasticNetRecommender_RP3betaRecommender_EASE_R_Recommender,0.031240506399185377,"{'min_interactions': 1, 'alpha_1': 1.2560433442668142, 'alpha_2': 1.4209679086532936, 'alpha_3': 0.45718429657509707}"
SLIMElasticNetRecommender_IALSRecommender_SLIM_BPR_Recommender,0.030724985291047675,"{'min_interactions': 1, 'alpha_1': 1.999511680522185, 'alpha_2': 0.16307991243945724, 'alpha_3': 0.14524928340075663}"
SLIMElasticNetRecommender_IALSRecommender_EASE_R_Recommender,0.030591473868676167,"{'min_interactions': 1, 'alpha_1': 1.99972304407738, 'alpha_2': 0.1466193959924443, 'alpha_3': 0.28802351460076403}"
SLIMElasticNetRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.030379736124555086,"{'min_interactions': 1, 'alpha_1': 1.8747871252871142, 'alpha_2': 0.11749952760421914, 'alpha_3': 1.2750005684850996}"
RP3betaRecommender_IALSRecommender_SLIM_BPR_Recommender,0.02947046584676142,"{'min_interactions': 6, 'alpha_1': 1.6165715584761355, 'alpha_2': 0.30979898742936685, 'alpha_3': 0.17656301921286469}"
RP3betaRecommender_IALSRecommender_EASE_R_Recommender,0.030660811554594193,"{'min_interactions': 1, 'alpha_1': 0.8344244548424532, 'alpha_2': 0.07770897594419009, 'alpha_3': 0.2889112613643548}"
RP3betaRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.030436322097591843,"{'min_interactions': 2, 'alpha_1': 1.5846241509707457, 'alpha_2': 0.025073331983168346, 'alpha_3': 0.6878629097412226}"
IALSRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.028047133494024847,"{'min_interactions': 21, 'alpha_1': 0.17553001060308474, 'alpha_2': 0.14883985908327269, 'alpha_3': 1.5802721174347705}"
SLIMElasticNetRecommender_RP3betaRecommender_IALSRecommender_SLIM_BPR_Recommender,0.0309439391207529,"{'min_interactions': 2, 'alpha_1': 0.6100262306710399, 'alpha_2': 0.46695910079705377, 'alpha_3': 0.06068023577966877, 'alpha_4': 0.04107382471814028}"
SLIMElasticNetRecommender_RP3betaRecommender_IALSRecommender_EASE_R_Recommender,0.03112895560110613,"{'min_interactions': 1, 'alpha_1': 1.412684173548581, 'alpha_2': 1.7139292819443228, 'alpha_3': 0.1511331306052789, 'alpha_4': 1.273960452554938}"
SLIMElasticNetRecommender_RP3betaRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.031130367186066862,"{'min_interactions': 1, 'alpha_1': 0.6590891574078004, 'alpha_2': 1.9250953961085353, 'alpha_3': 0.016002343283708545, 'alpha_4': 0.5968799633861062}"
SLIMElasticNetRecommender_IALSRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.030385501084983207,"{'min_interactions': 1, 'alpha_1': 1.994736054272126, 'alpha_2': 0.05933374829846169, 'alpha_3': 0.1496875856535782, 'alpha_4': 1.4472863547816601}"
RP3betaRecommender_IALSRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.0304480022711891,"{'min_interactions': 3, 'alpha_1': 1.7861119060590736, 'alpha_2': 0.10055496143698656, 'alpha_3': 0.11828437301319651, 'alpha_4': 0.5437550845562412}"
SLIMElasticNetRecommender_RP3betaRecommender_IALSRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.031243550994198874,"{'min_interactions': 1, 'alpha_1': 1.9043842403070814, 'alpha_2': 1.976072800238548, 'alpha_3': 0.13504850152430134, 'alpha_4': 0.150400230689061, 'alpha_5': 0.8298184511094984}"
