,Fold,MAP,topK,l1_ratio,alpha
0,0,0.02393024899346109,470,0.0028783368048579086,0.0672660788479978
1,1,0.023632075397220217,470,0.0028783368048579086,0.0672660788479978
2,2,0.023680445631622964,470,0.0028783368048579086,0.0672660788479978
3,3,0.02339319565000503,470,0.0028783368048579086,0.0672660788479978
4,4,0.024120527050410616,470,0.0028783368048579086,0.0672660788479978
5,5,0.02460668030964176,470,0.0028783368048579086,0.0672660788479978
6,6,0.023962049983450754,470,0.0028783368048579086,0.0672660788479978
7,7,0.02418278596611268,470,0.0028783368048579086,0.0672660788479978
8,0,4.8621620678386624e-05,784,0.40784386265824196,0.7854146757262189
9,1,2.844448233884223e-05,784,0.40784386265824196,0.7854146757262189
10,2,6.439972110727948e-05,784,0.40784386265824196,0.7854146757262189
11,3,4.340017958695001e-05,784,0.40784386265824196,0.7854146757262189
12,4,4.0371666300194716e-05,784,0.40784386265824196,0.7854146757262189
13,5,1.940008894839885e-05,784,0.40784386265824196,0.7854146757262189
14,6,2.0476713083716975e-05,784,0.40784386265824196,0.7854146757262189
15,7,4.754619202833133e-05,784,0.40784386265824196,0.7854146757262189
16,0,0.023071470609697668,38,1.646022494066345e-05,0.28747332437087847
17,1,0.022847377155046478,38,1.646022494066345e-05,0.28747332437087847
18,2,0.02285317774385846,38,1.646022494066345e-05,0.28747332437087847
19,3,0.022279190401758495,38,1.646022494066345e-05,0.28747332437087847
20,4,0.023233473708026982,38,1.646022494066345e-05,0.28747332437087847
21,5,0.023786673409018612,38,1.646022494066345e-05,0.28747332437087847
22,6,0.022775331024358313,38,1.646022494066345e-05,0.28747332437087847
23,7,0.023418602091272188,38,1.646022494066345e-05,0.28747332437087847
24,0,0.017966521674296985,936,2.1979785919684208e-05,0.61118543342141
25,1,0.01794815256916117,936,2.1979785919684208e-05,0.61118543342141
26,2,0.017704474218126764,936,2.1979785919684208e-05,0.61118543342141
27,3,0.017636772724321365,936,2.1979785919684208e-05,0.61118543342141
28,4,0.018354198334623966,936,2.1979785919684208e-05,0.61118543342141
29,5,0.018448139284962473,936,2.1979785919684208e-05,0.61118543342141
30,6,0.018228550524270352,936,2.1979785919684208e-05,0.61118543342141
31,7,0.017827561111586208,936,2.1979785919684208e-05,0.61118543342141
32,0,0.0141842196269539,715,0.013348165991927442,0.42360024031251614
33,1,0.014582806364364041,715,0.013348165991927442,0.42360024031251614
34,2,0.0146396418678274,715,0.013348165991927442,0.42360024031251614
35,3,0.014288834094281506,715,0.013348165991927442,0.42360024031251614
36,4,0.01430917247445047,715,0.013348165991927442,0.42360024031251614
37,5,0.015103639920421207,715,0.013348165991927442,0.42360024031251614
38,6,0.014921125854977964,715,0.013348165991927442,0.42360024031251614
39,7,0.014562933767932728,715,0.013348165991927442,0.42360024031251614
40,0,4.8621620678386624e-05,993,0.1384073727984184,0.30418813803328704
41,1,2.844448233884223e-05,993,0.1384073727984184,0.30418813803328704
42,2,6.439972110727948e-05,993,0.1384073727984184,0.30418813803328704
43,3,4.340017958695001e-05,993,0.1384073727984184,0.30418813803328704
44,4,4.0371666300194716e-05,993,0.1384073727984184,0.30418813803328704
45,5,1.940008894839885e-05,993,0.1384073727984184,0.30418813803328704
46,6,2.0476713083716975e-05,993,0.1384073727984184,0.30418813803328704
47,7,4.754619202833133e-05,993,0.1384073727984184,0.30418813803328704
48,0,0.02664877660705165,5,0.023734802990440826,0.001
49,1,0.026541954624616577,5,0.023734802990440826,0.001
50,2,0.026423208711000623,5,0.023734802990440826,0.001
51,3,0.025837656722870698,5,0.023734802990440826,0.001
52,4,0.026898312794970146,5,0.023734802990440826,0.001
53,5,0.026597965107537407,5,0.023734802990440826,0.001
54,6,0.026703542170468348,5,0.023734802990440826,0.001
55,7,0.0268617216726377,5,0.023734802990440826,0.001
56,0,0.018012367182864843,5,0.001870135993744068,1.0
57,1,0.01780510911218156,5,0.001870135993744068,1.0
58,2,0.01795811584098089,5,0.001870135993744068,1.0
59,3,0.017478517663342547,5,0.001870135993744068,1.0
60,4,0.017752140674244604,5,0.001870135993744068,1.0
61,5,0.018304603158776057,5,0.001870135993744068,1.0
62,6,0.018098132232373484,5,0.001870135993744068,1.0
63,7,0.018045157795706566,5,0.001870135993744068,1.0
64,0,0.02581478890443517,5,1.0,0.001
65,1,0.024736890512032306,5,1.0,0.001
66,2,0.024677942506642507,5,1.0,0.001
67,3,0.024589673908740062,5,1.0,0.001
68,4,0.025245356959621174,5,1.0,0.001
69,5,0.025608770280472388,5,1.0,0.001
70,6,0.02545673918242017,5,1.0,0.001
71,7,0.02586167178239616,5,1.0,0.001
72,0,0.028370287351398876,392,1.047051483311034e-05,0.021300291363394827
73,1,0.0272912216048595,392,1.047051483311034e-05,0.021300291363394827
74,2,0.02745968539770491,392,1.047051483311034e-05,0.021300291363394827
75,3,0.0266855874346147,392,1.047051483311034e-05,0.021300291363394827
76,4,0.027529947132436713,392,1.047051483311034e-05,0.021300291363394827
77,5,0.028486662488307994,392,1.047051483311034e-05,0.021300291363394827
78,6,0.027846560054731392,392,1.047051483311034e-05,0.021300291363394827
79,7,0.02836917511633146,392,1.047051483311034e-05,0.021300291363394827
80,0,0.0174242716274997,422,1.0807099873036797e-05,0.9927160654997254
81,1,0.01758483608304555,422,1.0807099873036797e-05,0.9927160654997254
82,2,0.01749985474337477,422,1.0807099873036797e-05,0.9927160654997254
83,3,0.017256587626237434,422,1.0807099873036797e-05,0.9927160654997254
84,4,0.01796974136639864,422,1.0807099873036797e-05,0.9927160654997254
85,5,0.01818219227731643,422,1.0807099873036797e-05,0.9927160654997254
86,6,0.017862404564739216,422,1.0807099873036797e-05,0.9927160654997254
87,7,0.01755374287678211,422,1.0807099873036797e-05,0.9927160654997254
88,0,0.029139663027580424,764,1e-05,0.001
89,1,0.028541034106537088,764,1e-05,0.001
90,2,0.02886011237366621,764,1e-05,0.001
91,3,0.028081175201797884,764,1e-05,0.001
92,4,0.02887344926594093,764,1e-05,0.001
93,5,0.029683999734104554,764,1e-05,0.001
94,6,0.02911022109465708,764,1e-05,0.001
95,7,0.02942450814557204,764,1e-05,0.001
96,0,4.8621620678386624e-05,6,0.5702680565631436,0.9680134588090052
97,1,2.844448233884223e-05,6,0.5702680565631436,0.9680134588090052
98,2,6.439972110727948e-05,6,0.5702680565631436,0.9680134588090052
99,3,4.340017958695001e-05,6,0.5702680565631436,0.9680134588090052
100,4,4.0371666300194716e-05,6,0.5702680565631436,0.9680134588090052
101,5,1.940008894839885e-05,6,0.5702680565631436,0.9680134588090052
102,6,2.0476713083716975e-05,6,0.5702680565631436,0.9680134588090052
103,7,4.754619202833133e-05,6,0.5702680565631436,0.9680134588090052
104,0,0.029208474915051092,1000,0.0001155372937292606,0.001
105,1,0.0285838942493674,1000,0.0001155372937292606,0.001
106,2,0.028946280959290662,1000,0.0001155372937292606,0.001
107,3,0.028172960128213118,1000,0.0001155372937292606,0.001
108,4,0.028650040789922542,1000,0.0001155372937292606,0.001
109,5,0.029706205179582536,1000,0.0001155372937292606,0.001
110,6,0.02914396095329968,1000,0.0001155372937292606,0.001
111,7,0.029456572524573114,1000,0.0001155372937292606,0.001
112,0,0.020097861917769945,65,0.00020706624730094657,1.0
113,1,0.020002617081847168,65,0.00020706624730094657,1.0
114,2,0.019708933203937143,65,0.00020706624730094657,1.0
115,3,0.019446036021911507,65,0.00020706624730094657,1.0
116,4,0.02012889456123748,65,0.00020706624730094657,1.0
117,5,0.02068685732012084,65,0.00020706624730094657,1.0
118,6,0.02029033619500552,65,0.00020706624730094657,1.0
119,7,0.020256503153379946,65,0.00020706624730094657,1.0
120,0,0.018844233142654137,995,5.9322004682553186e-05,0.4297313590084005
121,1,0.018728871899567193,995,5.9322004682553186e-05,0.4297313590084005
122,2,0.018603153403559045,995,5.9322004682553186e-05,0.4297313590084005
123,3,0.01852457601484837,995,5.9322004682553186e-05,0.4297313590084005
124,4,0.019170112299754953,995,5.9322004682553186e-05,0.4297313590084005
125,5,0.019259975436314053,995,5.9322004682553186e-05,0.4297313590084005
126,6,0.018956427993392925,995,5.9322004682553186e-05,0.4297313590084005
127,7,0.01866819980170599,995,5.9322004682553186e-05,0.4297313590084005
128,0,0.028313448438873314,17,0.00034274075889757224,0.02766103644143896
129,1,0.026811407476880548,17,0.00034274075889757224,0.02766103644143896
130,2,0.027081806175840738,17,0.00034274075889757224,0.02766103644143896
131,3,0.026675206548747457,17,0.00034274075889757224,0.02766103644143896
132,4,0.02748358444629292,17,0.00034274075889757224,0.02766103644143896
133,5,0.02799993115204013,17,0.00034274075889757224,0.02766103644143896
134,6,0.027569827492006663,17,0.00034274075889757224,0.02766103644143896
135,7,0.028271512988884938,17,0.00034274075889757224,0.02766103644143896
136,0,0.018717535351804808,228,1e-05,0.8041204984854686
137,1,0.018870087741320176,228,1e-05,0.8041204984854686
138,2,0.018696965628356595,228,1e-05,0.8041204984854686
139,3,0.018446889614204768,228,1e-05,0.8041204984854686
140,4,0.019158385197082257,228,1e-05,0.8041204984854686
141,5,0.019544099888102278,228,1e-05,0.8041204984854686
142,6,0.019063111193461425,228,1e-05,0.8041204984854686
143,7,0.018990680819657012,228,1e-05,0.8041204984854686
144,0,0.029359539038481822,1000,0.0011921329583009146,0.001
145,1,0.02867611184531525,1000,0.0011921329583009146,0.001
146,2,0.028967033027430915,1000,0.0011921329583009146,0.001
147,3,0.028252479614347438,1000,0.0011921329583009146,0.001
148,4,0.028687524497853983,1000,0.0011921329583009146,0.001
149,5,0.029807625346811896,1000,0.0011921329583009146,0.001
150,6,0.02923192926111235,1000,0.0011921329583009146,0.001
151,7,0.029553597165600912,1000,0.0011921329583009146,0.001
152,0,4.8621620678386624e-05,996,0.9975969105883172,0.5492559240011272
153,1,2.844448233884223e-05,996,0.9975969105883172,0.5492559240011272
154,2,6.439972110727948e-05,996,0.9975969105883172,0.5492559240011272
155,3,4.340017958695001e-05,996,0.9975969105883172,0.5492559240011272
156,4,4.0371666300194716e-05,996,0.9975969105883172,0.5492559240011272
157,5,1.940008894839885e-05,996,0.9975969105883172,0.5492559240011272
158,6,2.0476713083716975e-05,996,0.9975969105883172,0.5492559240011272
159,7,4.754619202833133e-05,996,0.9975969105883172,0.5492559240011272
160,0,0.020698953643686784,22,0.0010651056678770835,0.5709107647450155
161,1,0.02071155415977852,22,0.0010651056678770835,0.5709107647450155
162,2,0.02057602888800951,22,0.0010651056678770835,0.5709107647450155
163,3,0.02019389531062689,22,0.0010651056678770835,0.5709107647450155
164,4,0.021037780868889053,22,0.0010651056678770835,0.5709107647450155
165,5,0.021592726331733217,22,0.0010651056678770835,0.5709107647450155
166,6,0.02077777856960743,22,0.0010651056678770835,0.5709107647450155
167,7,0.021129911021150256,22,0.0010651056678770835,0.5709107647450155
168,0,0.01750882010476248,362,0.0002639121394728665,0.8430560981953935
169,1,0.017619300248366183,362,0.0002639121394728665,0.8430560981953935
170,2,0.01735811568394669,362,0.0002639121394728665,0.8430560981953935
171,3,0.01726869865974923,362,0.0002639121394728665,0.8430560981953935
172,4,0.018001086669024807,362,0.0002639121394728665,0.8430560981953935
173,5,0.018258039779876487,362,0.0002639121394728665,0.8430560981953935
174,6,0.017992957467665636,362,0.0002639121394728665,0.8430560981953935
175,7,0.01759506466725576,362,0.0002639121394728665,0.8430560981953935
176,0,0.02149298516128421,993,8.723549291353668e-05,0.17783463275494016
177,1,0.02130074888803632,993,8.723549291353668e-05,0.17783463275494016
178,2,0.021401914874906555,993,8.723549291353668e-05,0.17783463275494016
179,3,0.02101549768864944,993,8.723549291353668e-05,0.17783463275494016
180,4,0.021791414518025683,993,8.723549291353668e-05,0.17783463275494016
181,5,0.022131081767635778,993,8.723549291353668e-05,0.17783463275494016
182,6,0.02145126526449493,993,8.723549291353668e-05,0.17783463275494016
183,7,0.021595557234401805,993,8.723549291353668e-05,0.17783463275494016
184,0,0.03007126279787707,928,0.11602079411205511,0.0023752588452385934
185,1,0.02891777152520231,928,0.11602079411205511,0.0023752588452385934
186,2,0.02878586660887833,928,0.11602079411205511,0.0023752588452385934
187,3,0.028551925808735355,928,0.11602079411205511,0.0023752588452385934
188,4,0.029057047733769457,928,0.11602079411205511,0.0023752588452385934
189,5,0.029797923323948004,928,0.11602079411205511,0.0023752588452385934
190,6,0.029689036644289832,928,0.11602079411205511,0.0023752588452385934
191,7,0.029653001491955933,928,0.11602079411205511,0.0023752588452385934
192,0,0.02221085602606692,20,1.092951591455788e-05,0.5378235240990632
193,1,0.021996884764715244,20,1.092951591455788e-05,0.5378235240990632
194,2,0.021979180407158207,20,1.092951591455788e-05,0.5378235240990632
195,3,0.021348398683029145,20,1.092951591455788e-05,0.5378235240990632
196,4,0.02229964340685081,20,1.092951591455788e-05,0.5378235240990632
197,5,0.023120300335376633,20,1.092951591455788e-05,0.5378235240990632
198,6,0.022176264433073814,20,1.092951591455788e-05,0.5378235240990632
199,7,0.022580006525326848,20,1.092951591455788e-05,0.5378235240990632
200,0,0.026534206460250925,1000,1.0,0.001
201,1,0.025069642797932837,1000,1.0,0.001
202,2,0.025479370418527526,1000,1.0,0.001
203,3,0.025133613324274863,1000,1.0,0.001
204,4,0.025687999318043542,1000,1.0,0.001
205,5,0.026250219601251627,1000,1.0,0.001
206,6,0.025803655560464944,1000,1.0,0.001
207,7,0.02629956555894496,1000,1.0,0.001
208,0,4.8621620678386624e-05,633,0.97955759747087,0.1427209060075042
209,1,2.844448233884223e-05,633,0.97955759747087,0.1427209060075042
210,2,6.439972110727948e-05,633,0.97955759747087,0.1427209060075042
211,3,4.340017958695001e-05,633,0.97955759747087,0.1427209060075042
212,4,4.0371666300194716e-05,633,0.97955759747087,0.1427209060075042
213,5,1.940008894839885e-05,633,0.97955759747087,0.1427209060075042
214,6,2.0476713083716975e-05,633,0.97955759747087,0.1427209060075042
215,7,4.754619202833133e-05,633,0.97955759747087,0.1427209060075042
216,0,0.022510335068799986,22,0.0003765016019964212,0.3662205545564139
217,1,0.022278854610248255,22,0.0003765016019964212,0.3662205545564139
218,2,0.022272096280802255,22,0.0003765016019964212,0.3662205545564139
219,3,0.02157175005424038,22,0.0003765016019964212,0.3662205545564139
220,4,0.022480461467863613,22,0.0003765016019964212,0.3662205545564139
221,5,0.02336754760401189,22,0.0003765016019964212,0.3662205545564139
222,6,0.022389432875814238,22,0.0003765016019964212,0.3662205545564139
223,7,0.022680891720754045,22,0.0003765016019964212,0.3662205545564139
224,0,0.02986673472107235,1000,0.0001599888360007476,0.00953758236529579
225,1,0.02877128994109018,1000,0.0001599888360007476,0.00953758236529579
226,2,0.028760462402874536,1000,0.0001599888360007476,0.00953758236529579
227,3,0.027946346419109168,1000,0.0001599888360007476,0.00953758236529579
228,4,0.02869602107054442,1000,0.0001599888360007476,0.00953758236529579
229,5,0.029830740851530767,1000,0.0001599888360007476,0.00953758236529579
230,6,0.02935482517194602,1000,0.0001599888360007476,0.00953758236529579
231,7,0.029728612924581933,1000,0.0001599888360007476,0.00953758236529579
232,0,0.030631236337562737,1000,0.032488735395802694,0.001
233,1,0.02989049308506213,1000,0.032488735395802694,0.001
234,2,0.02988302130639908,1000,0.032488735395802694,0.001
235,3,0.02944575888155681,1000,0.032488735395802694,0.001
236,4,0.029726611918942884,1000,0.032488735395802694,0.001
237,5,0.030845365899209966,1000,0.032488735395802694,0.001
238,6,0.03045016303771199,1000,0.032488735395802694,0.001
239,7,0.030539598597371664,1000,0.032488735395802694,0.001
240,0,0.02363790455885201,992,1.036686981127206e-05,0.0935712876763322
241,1,0.023157902008245232,992,1.036686981127206e-05,0.0935712876763322
242,2,0.023316668079974373,992,1.036686981127206e-05,0.0935712876763322
243,3,0.023121067576320552,992,1.036686981127206e-05,0.0935712876763322
244,4,0.023616134166977363,992,1.036686981127206e-05,0.0935712876763322
245,5,0.02416151889678672,992,1.036686981127206e-05,0.0935712876763322
246,6,0.02344761017912766,992,1.036686981127206e-05,0.0935712876763322
247,7,0.02364913856183065,992,1.036686981127206e-05,0.0935712876763322
248,0,0.021742046042215916,11,0.00013180516971111612,0.703815383592478
249,1,0.021263209750228513,11,0.00013180516971111612,0.703815383592478
250,2,0.021247793669637787,11,0.00013180516971111612,0.703815383592478
251,3,0.020971254210553947,11,0.00013180516971111612,0.703815383592478
252,4,0.021385088734014627,11,0.00013180516971111612,0.703815383592478
253,5,0.02207668000892647,11,0.00013180516971111612,0.703815383592478
254,6,0.0215971915388258,11,0.00013180516971111612,0.703815383592478
255,7,0.02222970179889952,11,0.00013180516971111612,0.703815383592478
256,0,0.01609078997046209,975,0.0018427131737339907,0.9992088565496302
257,1,0.016088469208433372,975,0.0018427131737339907,0.9992088565496302
258,2,0.016119410368025302,975,0.0018427131737339907,0.9992088565496302
259,3,0.01581766698498212,975,0.0018427131737339907,0.9992088565496302
260,4,0.016265682609790194,975,0.0018427131737339907,0.9992088565496302
261,5,0.01658439731128933,975,0.0018427131737339907,0.9992088565496302
262,6,0.01668543302784549,975,0.0018427131737339907,0.9992088565496302
263,7,0.015982699172930607,975,0.0018427131737339907,0.9992088565496302
264,0,0.019222676711433465,997,1.0089093458590338e-05,0.37369929500372756
265,1,0.019203278181195223,997,1.0089093458590338e-05,0.37369929500372756
266,2,0.01908781194841744,997,1.0089093458590338e-05,0.37369929500372756
267,3,0.018805354826755608,997,1.0089093458590338e-05,0.37369929500372756
268,4,0.019576402233248285,997,1.0089093458590338e-05,0.37369929500372756
269,5,0.019688474851502137,997,1.0089093458590338e-05,0.37369929500372756
270,6,0.01931659168040492,997,1.0089093458590338e-05,0.37369929500372756
271,7,0.019057430795107848,997,1.0089093458590338e-05,0.37369929500372756
272,0,4.8621620678386624e-05,20,0.04827473526219865,0.5799706318504786
273,1,2.844448233884223e-05,20,0.04827473526219865,0.5799706318504786
274,2,6.439972110727948e-05,20,0.04827473526219865,0.5799706318504786
275,3,4.340017958695001e-05,20,0.04827473526219865,0.5799706318504786
276,4,4.0371666300194716e-05,20,0.04827473526219865,0.5799706318504786
277,5,1.940008894839885e-05,20,0.04827473526219865,0.5799706318504786
278,6,2.0476713083716975e-05,20,0.04827473526219865,0.5799706318504786
279,7,4.754619202833133e-05,20,0.04827473526219865,0.5799706318504786
280,0,0.017788985338955315,971,0.0010755143313409242,0.46411066263634176
281,1,0.017875336115413663,971,0.0010755143313409242,0.46411066263634176
282,2,0.01757993825415671,971,0.0010755143313409242,0.46411066263634176
283,3,0.017515931611262373,971,0.0010755143313409242,0.46411066263634176
284,4,0.018194846766920632,971,0.0010755143313409242,0.46411066263634176
285,5,0.01828301892764952,971,0.0010755143313409242,0.46411066263634176
286,6,0.018322805958992716,971,0.0010755143313409242,0.46411066263634176
287,7,0.01770421342886914,971,0.0010755143313409242,0.46411066263634176
288,0,0.02382518504770161,38,0.0005546952853873956,0.17418155963663862
289,1,0.023316505852316077,38,0.0005546952853873956,0.17418155963663862
290,2,0.023519202925861005,38,0.0005546952853873956,0.17418155963663862
291,3,0.022838119151348747,38,0.0005546952853873956,0.17418155963663862
292,4,0.023821924105250726,38,0.0005546952853873956,0.17418155963663862
293,5,0.0244886891506694,38,0.0005546952853873956,0.17418155963663862
294,6,0.023377070040494205,38,0.0005546952853873956,0.17418155963663862
295,7,0.024191520717912675,38,0.0005546952853873956,0.17418155963663862
296,0,0.021834379531011628,26,1.0330392644640017e-05,0.6752627469774938
297,1,0.021764702631608023,26,1.0330392644640017e-05,0.6752627469774938
298,2,0.021582994924654965,26,1.0330392644640017e-05,0.6752627469774938
299,3,0.021102705840060004,26,1.0330392644640017e-05,0.6752627469774938
300,4,0.02217090818124748,26,1.0330392644640017e-05,0.6752627469774938
301,5,0.022771320313946655,26,1.0330392644640017e-05,0.6752627469774938
302,6,0.02178707623260155,26,1.0330392644640017e-05,0.6752627469774938
303,7,0.02216528795380318,26,1.0330392644640017e-05,0.6752627469774938
304,0,0.02996218142130617,1000,0.011290355213959623,0.001
305,1,0.029273951233068172,1000,0.011290355213959623,0.001
306,2,0.029327622785032932,1000,0.011290355213959623,0.001
307,3,0.02883386465098543,1000,0.011290355213959623,0.001
308,4,0.02908138625188433,1000,0.011290355213959623,0.001
309,5,0.03033176011788053,1000,0.011290355213959623,0.001
310,6,0.02971371005417725,1000,0.011290355213959623,0.001
311,7,0.029858984836534423,1000,0.011290355213959623,0.001
312,0,0.02218263882940077,19,0.0001243783538463019,0.522427951464179
313,1,0.021837282245369374,19,0.0001243783538463019,0.522427951464179
314,2,0.02180476253289866,19,0.0001243783538463019,0.522427951464179
315,3,0.021263055290292755,19,0.0001243783538463019,0.522427951464179
316,4,0.02219463325717093,19,0.0001243783538463019,0.522427951464179
317,5,0.022989180582659446,19,0.0001243783538463019,0.522427951464179
318,6,0.022130472928138346,19,0.0001243783538463019,0.522427951464179
319,7,0.022578153459215145,19,0.0001243783538463019,0.522427951464179
320,0,0.024323524932659435,13,1.1218182191366587e-05,0.16855763391499412
321,1,0.023637972712875762,13,1.1218182191366587e-05,0.16855763391499412
322,2,0.02381209524437669,13,1.1218182191366587e-05,0.16855763391499412
323,3,0.023358374943978112,13,1.1218182191366587e-05,0.16855763391499412
324,4,0.023828628152057205,13,1.1218182191366587e-05,0.16855763391499412
325,5,0.024737447909000454,13,1.1218182191366587e-05,0.16855763391499412
326,6,0.02378672703575436,13,1.1218182191366587e-05,0.16855763391499412
327,7,0.024718563604514528,13,1.1218182191366587e-05,0.16855763391499412
328,0,4.8621620678386624e-05,957,0.03408612358521846,0.9948779164107976
329,1,2.844448233884223e-05,957,0.03408612358521846,0.9948779164107976
330,2,6.439972110727948e-05,957,0.03408612358521846,0.9948779164107976
331,3,4.340017958695001e-05,957,0.03408612358521846,0.9948779164107976
332,4,4.0371666300194716e-05,957,0.03408612358521846,0.9948779164107976
333,5,1.940008894839885e-05,957,0.03408612358521846,0.9948779164107976
334,6,2.0476713083716975e-05,957,0.03408612358521846,0.9948779164107976
335,7,4.754619202833133e-05,957,0.03408612358521846,0.9948779164107976
336,0,0.01689576333564941,994,0.0010013378277520784,0.6810772559423817
337,1,0.01697346129008322,994,0.0010013378277520784,0.6810772559423817
338,2,0.01668481981897103,994,0.0010013378277520784,0.6810772559423817
339,3,0.016638390432164734,994,0.0010013378277520784,0.6810772559423817
340,4,0.017244608878818856,994,0.0010013378277520784,0.6810772559423817
341,5,0.017322977650527795,994,0.0010013378277520784,0.6810772559423817
342,6,0.017402795000071258,994,0.0010013378277520784,0.6810772559423817
343,7,0.016810754435479972,994,0.0010013378277520784,0.6810772559423817
344,0,0.018019846822065474,979,0.022840652311148405,0.1251646284272257
345,1,0.017739074176704724,979,0.022840652311148405,0.1251646284272257
346,2,0.01787288160878387,979,0.022840652311148405,0.1251646284272257
347,3,0.017499513024804837,979,0.022840652311148405,0.1251646284272257
348,4,0.01810823988298385,979,0.022840652311148405,0.1251646284272257
349,5,0.018789585598589512,979,0.022840652311148405,0.1251646284272257
350,6,0.01846801166840076,979,0.022840652311148405,0.1251646284272257
351,7,0.01835037124674914,979,0.022840652311148405,0.1251646284272257
352,0,0.01711423146112327,66,0.002200899614370995,0.8112456715662643
353,1,0.01713284275877531,66,0.002200899614370995,0.8112456715662643
354,2,0.017167919799498783,66,0.002200899614370995,0.8112456715662643
355,3,0.01692093898319577,66,0.002200899614370995,0.8112456715662643
356,4,0.01746544806773671,66,0.002200899614370995,0.8112456715662643
357,5,0.01805170165250929,66,0.002200899614370995,0.8112456715662643
358,6,0.017894596396541906,66,0.002200899614370995,0.8112456715662643
359,7,0.017422891860129908,66,0.002200899614370995,0.8112456715662643
360,0,0.016783402180913638,973,3.8655335585925525e-05,0.9522520421980051
361,1,0.01698800721256704,973,3.8655335585925525e-05,0.9522520421980051
362,2,0.016637866596315387,973,3.8655335585925525e-05,0.9522520421980051
363,3,0.016617458417069318,973,3.8655335585925525e-05,0.9522520421980051
364,4,0.017300264815823946,973,3.8655335585925525e-05,0.9522520421980051
365,5,0.017344700368930148,973,3.8655335585925525e-05,0.9522520421980051
366,6,0.01724354619296256,973,3.8655335585925525e-05,0.9522520421980051
367,7,0.01681143943641442,973,3.8655335585925525e-05,0.9522520421980051
368,0,0.015466930159364628,8,0.01506627345333567,0.2928882074811983
369,1,0.015805899368268723,8,0.01506627345333567,0.2928882074811983
370,2,0.01583369843782386,8,0.01506627345333567,0.2928882074811983
371,3,0.01519537999109978,8,0.01506627345333567,0.2928882074811983
372,4,0.015517673508538726,8,0.01506627345333567,0.2928882074811983
373,5,0.015973201525101004,8,0.01506627345333567,0.2928882074811983
374,6,0.01587977017938108,8,0.01506627345333567,0.2928882074811983
375,7,0.015794240765553847,8,0.01506627345333567,0.2928882074811983
376,0,0.025340113392282197,18,7.285724078273084e-05,0.103854908397225
377,1,0.02470990259560842,18,7.285724078273084e-05,0.103854908397225
378,2,0.024734349187505104,18,7.285724078273084e-05,0.103854908397225
379,3,0.024358875380276195,18,7.285724078273084e-05,0.103854908397225
380,4,0.025027027306940997,18,7.285724078273084e-05,0.103854908397225
381,5,0.025747443524889006,18,7.285724078273084e-05,0.103854908397225
382,6,0.024805138657278833,18,7.285724078273084e-05,0.103854908397225
383,7,0.025696891442002184,18,7.285724078273084e-05,0.103854908397225
384,0,4.8621620678386624e-05,62,0.9847839231406316,0.38854856818755423
385,1,2.844448233884223e-05,62,0.9847839231406316,0.38854856818755423
386,2,6.439972110727948e-05,62,0.9847839231406316,0.38854856818755423
387,3,4.340017958695001e-05,62,0.9847839231406316,0.38854856818755423
388,4,4.0371666300194716e-05,62,0.9847839231406316,0.38854856818755423
389,5,1.940008894839885e-05,62,0.9847839231406316,0.38854856818755423
390,6,2.0476713083716975e-05,62,0.9847839231406316,0.38854856818755423
391,7,4.754619202833133e-05,62,0.9847839231406316,0.38854856818755423
392,0,4.8621620678386624e-05,28,0.9848633954478099,0.6760032926712791
393,1,2.844448233884223e-05,28,0.9848633954478099,0.6760032926712791
394,2,6.439972110727948e-05,28,0.9848633954478099,0.6760032926712791
395,3,4.340017958695001e-05,28,0.9848633954478099,0.6760032926712791
396,4,4.0371666300194716e-05,28,0.9848633954478099,0.6760032926712791
